1_3, 350, 250, 100, 2.56
 2_3, 350, 250, 100, 6.08
 3_4, 410, 310, 280, 2.3
 4_4, 410, 310, 280, 5.38
 5_1, 220, 190, 90, 0.28
 6_2, 270, 180, 150, 0.05
 7_4, 410, 310, 280, 2.51
 8_2, 270, 180, 150, 1.3
 9_5, 480, 380, 340, 27.61
 10_5, 480, 380, 340, 21.78
 11_4, 410, 310, 280, 6.43
 12_5, 480, 380, 340, 11.38
 13_3, 350, 250, 100, 2.86
 14_3, 350, 250, 100, 4.01
 15_1, 220, 190, 90, 0.57
 16_3, 350, 250, 100, 4.42
 17_3, 350, 250, 100, 1.51
 18_1, 220, 190, 90, 0.76
 19_4, 410, 310, 280, 8.02
 20_2, 270, 180, 150, 0.93
 21_2, 270, 180, 150, 1.55
 22_4, 410, 310, 280, 4.9
 23_4, 410, 310, 280, 10.37
 24_2, 270, 180, 150, 1.96
 25_1, 220, 190, 90, 0.84
 26_1, 220, 190, 90, 0.54
 27_5, 480, 380, 340, 0.23
 28_4, 410, 310, 280, 10.14
 29_3, 350, 250, 100, 0.88
 30_5, 480, 380, 340, 5.78
 31_4, 410, 310, 280, 5.94
 32_1, 220, 190, 90, 0.92
 33_1, 220, 190, 90, 0.07
 34_2, 270, 180, 150, 0.28
 35_2, 270, 180, 150, 1.17
 36_3, 350, 250, 100, 6.42
 37_3, 350, 250, 100, 1.79
 38_2, 270, 180, 150, 2.03
 39_3, 350, 250, 100, 3.33
 40_4, 410, 310, 280, 3.85
 41_4, 410, 310, 280, 4.03
 42_2, 270, 180, 150, 1.0
 43_3, 350, 250, 100, 2.56
 44_3, 350, 250, 100, 5.52
 45_5, 480, 380, 340, 19.65
 46_3, 350, 250, 100, 5.19
 47_4, 410, 310, 280, 7.14
 48_5, 480, 380, 340, 9.63
 49_2, 270, 180, 150, 2.18
 50_3, 350, 250, 100, 3.59
 51_4, 410, 310, 280, 3.25
 52_2, 270, 180, 150, 2.33
 53_3, 350, 250, 100, 0.88
 54_5, 480, 380, 340, 17.49
 55_2, 270, 180, 150, 1.9
 56_5, 480, 380, 340, 0.22
 57_1, 220, 190, 90, 0.77
 58_4, 410, 310, 280, 5.74
 59_4, 410, 310, 280, 8.6
 60_2, 270, 180, 150, 0.22
 61_1, 220, 190, 90, 0.76
 62_5, 480, 380, 340, 15.07
 63_1, 220, 190, 90, 0.2
 64_4, 410, 310, 280, 2.61
 65_2, 270, 180, 150, 2.34
 66_3, 350, 250, 100, 3.52
 67_2, 270, 180, 150, 2.14
 68_1, 220, 190, 90, 0.84
 69_2, 270, 180, 150, 0.54
 70_2, 270, 180, 150, 2.2
 71_3, 350, 250, 100, 0.27
 72_4, 410, 310, 280, 4.61
 73_5, 480, 380, 340, 11.62
 74_5, 480, 380, 340, 28.14
 75_5, 480, 380, 340, 3.98
 76_4, 410, 310, 280, 1.6
 77_1, 220, 190, 90, 0.38
 78_3, 350, 250, 100, 4.61
 79_3, 350, 250, 100, 2.91
 80_3, 350, 250, 100, 1.27
 81_2, 270, 180, 150, 2.42
 82_5, 480, 380, 340, 23.91
 83_4, 410, 310, 280, 4.78
 84_3, 350, 250, 100, 0.3
 85_4, 410, 310, 280, 3.5
 86_5, 480, 380, 340, 12.26
 87_1, 220, 190, 90, 0.66
 88_3, 350, 250, 100, 2.07
 89_3, 350, 250, 100, 5.65
 90_3, 350, 250, 100, 6.28
 91_3, 350, 250, 100, 2.17
 92_2, 270, 180, 150, 2.22
 93_5, 480, 380, 340, 12.3
 94_4, 410, 310, 280, 2.32
 95_2, 270, 180, 150, 0.47
 96_3, 350, 250, 100, 1.62
 97_3, 350, 250, 100, 2.7
 98_3, 350, 250, 100, 5.97
 99_1, 220, 190, 90, 0.08
 100_3, 350, 250, 100, 2.87
 
