1_4, 410, 310, 280, 8.94
 2_5, 480, 380, 340, 6.95
 3_3, 350, 250, 100, 0.93
 4_2, 270, 180, 150, 1.08
 5_5, 480, 380, 340, 25.14
 6_3, 350, 250, 100, 4.22
 7_2, 270, 180, 150, 1.27
 8_2, 270, 180, 150, 0.03
 9_3, 350, 250, 100, 1.62
 10_3, 350, 250, 100, 5.98
 11_2, 270, 180, 150, 0.54
 12_4, 410, 310, 280, 6.78
 13_4, 410, 310, 280, 6.3
 14_4, 410, 310, 280, 3.83
 15_3, 350, 250, 100, 5.53
 16_2, 270, 180, 150, 2.01
 17_4, 410, 310, 280, 5.54
 18_5, 480, 380, 340, 8.62
 19_4, 410, 310, 280, 6.54
 20_2, 270, 180, 150, 0.11
 21_2, 270, 180, 150, 1.09
 22_2, 270, 180, 150, 2.44
 23_4, 410, 310, 280, 2.45
 24_5, 480, 380, 340, 0.79
 25_1, 220, 190, 90, 0.57
 26_4, 410, 310, 280, 4.9
 27_4, 410, 310, 280, 3.11
 28_1, 220, 190, 90, 0.14
 29_3, 350, 250, 100, 2.72
 30_2, 270, 180, 150, 0.93
 31_3, 350, 250, 100, 2.72
 32_2, 270, 180, 150, 0.51
 33_3, 350, 250, 100, 4.69
 34_3, 350, 250, 100, 6.48
 35_3, 350, 250, 100, 0.12
 36_1, 220, 190, 90, 0.69
 37_4, 410, 310, 280, 2.19
 38_2, 270, 180, 150, 1.22
 39_5, 480, 380, 340, 19.28
 40_4, 410, 310, 280, 9.96
 41_4, 410, 310, 280, 6.44
 42_4, 410, 310, 280, 4.4
 43_3, 350, 250, 100, 5.89
 44_1, 220, 190, 90, 0.91
 45_1, 220, 190, 90, 0.84
 46_1, 220, 190, 90, 0.09
 47_3, 350, 250, 100, 5.06
 48_3, 350, 250, 100, 1.38
 49_4, 410, 310, 280, 6.31
 50_3, 350, 250, 100, 1.25
 51_2, 270, 180, 150, 1.15
 52_2, 270, 180, 150, 1.03
 53_3, 350, 250, 100, 0.07
 54_2, 270, 180, 150, 1.52
 55_3, 350, 250, 100, 2.12
 56_3, 350, 250, 100, 2.54
 57_3, 350, 250, 100, 0.32
 58_5, 480, 380, 340, 16.41
 59_4, 410, 310, 280, 6.2
 60_1, 220, 190, 90, 0.71
 61_5, 480, 380, 340, 7.47
 62_1, 220, 190, 90, 0.56
 63_3, 350, 250, 100, 3.3
 64_4, 410, 310, 280, 3.31
 65_4, 410, 310, 280, 8.72
 66_2, 270, 180, 150, 1.72
 67_4, 410, 310, 280, 9.11
 68_3, 350, 250, 100, 4.26
 69_2, 270, 180, 150, 1.9
 70_2, 270, 180, 150, 0.17
 71_1, 220, 190, 90, 0.02
 72_3, 350, 250, 100, 0.12
 73_3, 350, 250, 100, 1.65
 74_2, 270, 180, 150, 1.64
 75_5, 480, 380, 340, 26.19
 76_3, 350, 250, 100, 2.43
 77_5, 480, 380, 340, 7.12
 78_3, 350, 250, 100, 6.3
 79_3, 350, 250, 100, 6.07
 80_4, 410, 310, 280, 2.01
 81_5, 480, 380, 340, 2.64
 82_1, 220, 190, 90, 0.9
 83_2, 270, 180, 150, 0.03
 84_3, 350, 250, 100, 1.03
 85_3, 350, 250, 100, 1.59
 86_2, 270, 180, 150, 0.15
 87_2, 270, 180, 150, 0.8
 88_4, 410, 310, 280, 6.27
 89_2, 270, 180, 150, 1.19
 90_1, 220, 190, 90, 0.24
 91_3, 350, 250, 100, 5.51
 92_1, 220, 190, 90, 0.83
 93_1, 220, 190, 90, 0.6
 94_1, 220, 190, 90, 0.89
 95_3, 350, 250, 100, 6.11
 96_3, 350, 250, 100, 2.5
 97_2, 270, 180, 150, 1.84
 98_1, 220, 190, 90, 0.68
 99_3, 350, 250, 100, 1.77
 100_2, 270, 180, 150, 0.26
 
