1_3, 350, 250, 100, 1.02
 2_3, 350, 250, 100, 3.73
 3_1, 220, 190, 90, 0.4
 4_4, 410, 310, 280, 4.86
 5_4, 410, 310, 280, 7.38
 6_1, 220, 190, 90, 0.04
 7_3, 350, 250, 100, 2.05
 8_5, 480, 380, 340, 13.02
 9_1, 220, 190, 90, 0.63
 10_2, 270, 180, 150, 1.17
 11_2, 270, 180, 150, 0.52
 12_3, 350, 250, 100, 0.91
 13_1, 220, 190, 90, 0.03
 14_4, 410, 310, 280, 10.32
 15_3, 350, 250, 100, 0.63
 16_2, 270, 180, 150, 2.35
 17_3, 350, 250, 100, 0.08
 18_3, 350, 250, 100, 5.03
 19_2, 270, 180, 150, 0.06
 20_3, 350, 250, 100, 5.08
 21_3, 350, 250, 100, 3.95
 22_3, 350, 250, 100, 6.08
 23_2, 270, 180, 150, 0.17
 24_1, 220, 190, 90, 0.52
 25_2, 270, 180, 150, 0.02
 26_5, 480, 380, 340, 24.78
 27_2, 270, 180, 150, 0.54
 28_5, 480, 380, 340, 16.0
 29_3, 350, 250, 100, 4.6
 30_3, 350, 250, 100, 5.76
 31_4, 410, 310, 280, 7.16
 32_1, 220, 190, 90, 0.18
 33_1, 220, 190, 90, 0.04
 34_2, 270, 180, 150, 1.44
 35_4, 410, 310, 280, 0.19
 36_3, 350, 250, 100, 5.17
 37_5, 480, 380, 340, 29.2
 38_2, 270, 180, 150, 1.67
 39_2, 270, 180, 150, 1.77
 40_3, 350, 250, 100, 1.91
 41_2, 270, 180, 150, 0.38
 42_4, 410, 310, 280, 10.23
 43_4, 410, 310, 280, 3.45
 44_3, 350, 250, 100, 3.62
 45_4, 410, 310, 280, 6.68
 46_4, 410, 310, 280, 6.81
 47_4, 410, 310, 280, 7.55
 48_4, 410, 310, 280, 1.87
 49_3, 350, 250, 100, 4.08
 50_4, 410, 310, 280, 4.39
 51_2, 270, 180, 150, 0.79
 52_3, 350, 250, 100, 1.54
 53_4, 410, 310, 280, 6.67
 54_4, 410, 310, 280, 6.07
 55_4, 410, 310, 280, 10.48
 56_2, 270, 180, 150, 0.69
 57_4, 410, 310, 280, 10.79
 58_4, 410, 310, 280, 6.88
 59_2, 270, 180, 150, 1.65
 60_1, 220, 190, 90, 0.47
 61_3, 350, 250, 100, 3.47
 62_5, 480, 380, 340, 26.68
 63_1, 220, 190, 90, 0.77
 64_5, 480, 380, 340, 22.11
 65_2, 270, 180, 150, 1.63
 66_3, 350, 250, 100, 1.52
 67_5, 480, 380, 340, 12.0
 68_3, 350, 250, 100, 2.65
 69_5, 480, 380, 340, 9.81
 70_3, 350, 250, 100, 2.47
 71_3, 350, 250, 100, 3.0
 72_3, 350, 250, 100, 3.36
 73_3, 350, 250, 100, 0.14
 74_5, 480, 380, 340, 16.35
 75_4, 410, 310, 280, 4.67
 76_3, 350, 250, 100, 6.07
 77_3, 350, 250, 100, 4.15
 78_3, 350, 250, 100, 6.0
 79_2, 270, 180, 150, 0.46
 80_3, 350, 250, 100, 5.56
 81_3, 350, 250, 100, 1.47
 82_3, 350, 250, 100, 4.1
 83_2, 270, 180, 150, 1.95
 84_3, 350, 250, 100, 2.7
 85_4, 410, 310, 280, 2.36
 86_3, 350, 250, 100, 6.38
 87_3, 350, 250, 100, 5.96
 88_5, 480, 380, 340, 12.27
 89_2, 270, 180, 150, 0.56
 90_4, 410, 310, 280, 2.41
 91_1, 220, 190, 90, 0.41
 92_2, 270, 180, 150, 0.96
 93_4, 410, 310, 280, 8.93
 94_4, 410, 310, 280, 1.09
 95_1, 220, 190, 90, 0.08
 96_4, 410, 310, 280, 6.77
 97_4, 410, 310, 280, 7.38
 98_3, 350, 250, 100, 6.11
 99_1, 220, 190, 90, 0.77
 100_3, 350, 250, 100, 4.55
 
